Type,variant_id,Name,abc_compressed = { + concatenated gracenotes + } + target note,abc_steps = comma‑separated gracenotes only,target_note = final melodic note (case preserved),durations_ms,timing_ratio,anchor,is_default
Bagpipe Movements,,D strike with E gracenote,{gdedc}d,"g,d,e,d,c",d,"40,30,30,30,30","1,1,1,1,1",1,
Bagpipe Movements,,D strike with E back gracenote,{adedc}d,"a,d,e,d,c",d,"40,30,30,30,30","1,1,1,1,1",1,
,,,,,,,,,
Bagpipe Movements,,Pele on Low A,{gAeAG}A,"g,A,e,A,G",A,"40,30,30,30,30","1,1,1,1,1",1,
Bagpipe Movements,,Pele on B,{gBeBG}B,"g,B,e,B,G",B,"40,30,30,30,30","1,1,1,1,1",1,
Bagpipe Movements,,Pele on C,{gceCG}c,"g,c,e,c,G",c,"40,30,30,30,30","1,1,1,1,1",1,
,,,,,,,,,
Bagpipe Movements,,Pele on D (closed),{gdedG}d,"g,d,e,d,G",d,"40,30,30,30,30","1,1,1,1,1",1,
Bagpipe Movements,,Pele on D (open),{gdedc}d,"g,d,e,d,c",d,"40,30,30,30,30","1,1,1,1,1",1,
,,,,,,,,,
Bagpipe Movements,,Pele on E,{gefeA}e,"g,e,f,e,A",e,"40,30,30,30,30","1,1,1,1,1",1,
Bagpipe Movements,,Pele on F,{gfgfE}f,"g,f,g,f,e",f,"40,30,30,30,30","1,1,1,1,1",1,
,,,,,,,,,
Bagpipe Movements,,Thumb Pele on Low A,{aAeAG}A,"a,A,e,A,G",A,"40,30,30,30,30","1,1,1,1,1",1,
Bagpipe Movements,,Thumb Pele on B,{aBeBG}B,"a,B,e,B,G",B,"40,30,30,30,30","1,1,1,1,1",1,
Bagpipe Movements,,Thumb Pele on C,{aceCG}c,"a,c,e,c,G",c,"40,30,30,30,30","1,1,1,1,1",1,
,,,,,,,,,
Bagpipe Movements,,Thumb Pele on D (closed),{adedG}d,"a,d,e,d,G",d,"40,30,30,30,30","1,1,1,1,1",1,
Bagpipe Movements,,Thumb Pele on D (open),{adedc}d,"a,d,e,d,c",d,"40,30,30,30,30","1,1,1,1,1",1,
,,,,,,,,,
Bagpipe Movements,,Thumb Pele on E,{aefeA}e,"a,e,f,e,A",e,"40,30,30,30,30","1,1,1,1,1",1,
Bagpipe Movements,,Thumb Pele on F,{afgfE}f,"a,f,g,f,e",f,"40,30,30,30,30","1,1,1,1,1",1,
Bagpipe Movements,,Thumb Pele on High G,{agagf}g,"a,g,a,g,f",g,"40,30,30,30,30","1,1,1,1,1",1,
,,,,,,,,,
Bagpipe Movements,,Half Pele on LA,{AeAG}A,"A,e,A,G",A,"40,30,30,30","1,1,1,1,1",1,
Bagpipe Movements,,Half Pele on B,{BeBG}B,"B,e,B,G",B,"40,30,30,30","1,1,1,1,1",1,
Bagpipe Movements,,Half Pele on C,{ceCG}c,"c,e,c,G",c,"40,30,30,30","1,1,1,1,1",1,
,,,,,,,,,
Bagpipe Movements,,Half Pele on D (closed),{dedG}d,"d,e,d,G",d,"40,30,30,30","1,1,1,1",1,
Bagpipe Movements,,Half Pele on D (open),{dedc}d,"d,e,d,c",d,"40,30,30,30","1,1,1,1",1,
,,,,,,,,,
Bagpipe Movements,,Half Pele on E,{efeA}e,"e,f,e,A",e,"30,30,30,30","1,1,1,1",1,
Bagpipe Movements,,Half Pele on F,{fgfE}f,"f,g,f,e",f,"30,30,30,30","1,1,1,1",1,
Bagpipe Movements,,Half Pele on High G,{gagf}g,"g,a,g,f",g,"30,30,30,30","1,1,1,1",1,
,,,,,,,,,
Double Grace Notes,,Double grace dlg,{dG}G,"d,G",G,"40,40","1,1",1,
Double Grace Notes,,Double grace dla,{dA}A,"d,A",A,"40,40","1,1",1,
Double Grace Notes,,Double grace db,{dB}B,"d,B",B,"40,40","1,1",1,
Double Grace Notes,,Double grace dc,{dc}c,"d,c",c,"40,40","1,1",1,
Double Grace Notes,,Double grace elg,{eG}G,"e,G",G,"40,40","1,1",1,
Double Grace Notes,,Double grace ela,{eA}A,"e,A",A,"40,40","1,1",1,
Double Grace Notes,,Double grace eb,{eB}B,"e,B",B,"40,40","1,1",1,
Double Grace Notes,,Double grace ec,{ec}c,"e,c",c,"40,40","1,1",1,
Double Grace Notes,,Double grace ed,{ed}d,"e,d",d,"40,40","1,1",1,
Double Grace Notes,,Double grace flg,{fG}G,"f,G",G,"40,40","1,1",1,
Double Grace Notes,,Double grace fla,{fA}A,"f,A",A,"40,40","1,1",1,
Double Grace Notes,,Double grace fb,{fB}B,"f,B",B,"40,40","1,1",1,
Double Grace Notes,,Double grace fc,{fc}c,"f,c",c,"40,40","1,1",1,
Double Grace Notes,,Double grace fd,{fd}d,"f,d",d,"40,40","1,1",1,
Double Grace Notes,,Double grace fe,{fe}e,"f,e",e,"40,40","1,1",1,
Double Grace Notes,,Double grace glg,{gG}G,"g,G",G,"40,40","1,1",1,
Double Grace Notes,,Double grace gla,{gA}A,"g,A",A,"40,40","1,1",1,
Double Grace Notes,,Double grace gb,{gB}B,"g,B",B,"40,40","1,1",1,
Double Grace Notes,,Double grace gc,{gc}c,"g,c",c,"40,40","1,1",1,
Double Grace Notes,,Double grace gd,{gd}d,"g,d",d,"40,40","1,1",1,
Double Grace Notes,,Double grace ge,{ge}e,"g,e",e,"40,40","1,1",1,
Double Grace Notes,,Double grace gf,{gf}f,"g,f",f,"40,40","1,1",1,
Double Grace Notes,,Double grace tlg,{aG}G,"a,G",G,"40,40","1,1",1,
Double Grace Notes,,Double grace tla,{aA}A,"a,A",A,"40,40","1,1",1,
Double Grace Notes,,Double grace tb,{aB}B,"a,B",B,"40,40","1,1",1,
Double Grace Notes,,Double grace tc,{ac}c,"a,c",c,"40,40","1,1",1,
Double Grace Notes,,Double grace td,{ad}d,"a,d",d,"40,40","1,1",1,
Double Grace Notes,,Double grace te,{ae}e,"a,e",e,"40,40","1,1",1,
Double Grace Notes,,Double grace tf,{af}f,"a,f",f,"40,40","1,1",1,
Double Grace Notes,,Double grace thg,{ag}g,"a,g",g,"40,40","1,1",1,
,,,,,,,,,
Piobaireachd,,Cadence with HG  E and D gracenotes,{ged}d,"g,e,d",d,"30,90,30","1,3,1",1,
Piobaireachd,,Cadence with HG and E gracenotes,{ge}e,"g,e",e,"30,90","1,3",1,
Piobaireachd,,Cadence with E and D gracenotes,{ed}d,"e,d",d,"90,30","3,1",1,
Piobaireachd,,Cadence with E gracenote,{e}e,e,e,60,2,1,
,,,,,,,,,
Piobaireachd,,Cadence with HA  E and D gracenotes,{aed}d,"a,e,d",d,"30,90,30","1,3,1",1,
Piobaireachd,,Cadence with HA and E gracenotes,{ae}e,"a,e",e,"30,90","1,3",1,
Piobaireachd,,Cadence with HG and F gracenotes,{gf}f,"g,f",f,"30,90","1,3",1,
Piobaireachd,,Cadence with HA and F gracenotes,{af}f,"a,f",f,"30,90","1,3",1,
,,,,,,,,,
Piobaireachd,,Embari,{eGf}f,"e,G,f",f,"30,30,30,30","1,1,1,1",1,
Piobaireachd,,Endari,{eAf}f,"e,A,f",f,"30,30,30,30","1,1,1,1",1,
Piobaireachd,,Chedari,{fegefe}e,"f,e,g,e,f,e",e,"30,30,30,30,30,30","1,1,1,1,1",1,
Piobaireachd,,Hedari,{egefe}e,"e,g,e,f,e",e,"30,30,30,30,30","1,1,1,1",1,
,,,,,,,,,
Piobaireachd,,Throw on A (dili),{ag}g,"a,g",g,"30,30","1,1",1,
Piobaireachd,,Throw on D (tra),{Gdc}d,"G,d,c",d,"30,30,30","1,1,1",1,
Piobaireachd,,Half Throw on D (htra),{dc}d,"d,c",d,"30,30","1,1",1,
,,,,,,,,,
Piobaireachd,,Edre,{eAf}f,"e,A,f",f,"30,30,30,30","1,1,1,1",1,
Piobaireachd,,Dare,{feg}g,"f,e,g",g,"30,30,30,30","1,1,1,1",1,
,,,,,,,,,
Piobaireachd,,HG Edre,{geAf}f,"g,e,A,f",f,"30,30,30,30,30","1,1,1,1,1",1,
Piobaireachd,,HG Dare,{gfeg}g,"g,f,e,g",g,"30,30,30,30,30","1,1,1,1,1",1,
Piobaireachd,,HA Edre,{aeAf}f,"a,e,A,f",f,"30,30,30,30,30","1,1,1,1,1",1,
Piobaireachd,,HA Dare,{afeg}g,"a,f,e,g",g,"30,30,30,30,30","1,1,1,1,1",1,
,,,,,,,,,
Piobaireachd,,Chechere (tchechere),{ageae}e,"a,g,e,a,e",e,"30,30,30,30,30","1,1,1,1,1",1,
Piobaireachd,,Chechere (hchechere),{eae}e,"e,a,e",e,"30,30,30","1,1,1",1,
,,,,,,,,,
Piobaireachd,,Dre,{Af}f,"A,f",f,"30,30,30","1,1,1",1,
Piobaireachd,,Edale,{ege}e,"e,g,e",e,"30,30,30","1,1,1",1,
,,,,,,,,,
Piobaireachd,,E Grip (deda),{GeG}G,"G,e,G",G,"40,30,30","1,1,1",1,
,,,,,,,,,
Piobaireachd,,Leumluath,{GdG}G,"G,d,G",G,"60,30,30","2,1,1",1,
Piobaireachd,,B Leumluath,{GBG}B,"G,B,G",B,"60,30,30","2,1,1",1,
Piobaireachd,,Low A Leumluath,{dA}A,"d,A",A,"40,30","1,1",1,
Piobaireachd,,Low G Leumluath,{dG}G,"d,G",G,"40,30","1,1",1,
,,,,,,,,,
Piobaireachd,,Taorluath,{GdGe}e,"G,d,G,e",e,"30,30,30,30","1,1,1,1",1,
Piobaireachd,,B Taorluath,{GBGe}e,"G,B,G,e",e,"30,30,30,30","1,1,1,1",1,
Piobaireachd,,Low A Taorluath,{dAe}e,"d,A,e",e,"30,30,30","1,1,1",1,
Piobaireachd,,Low G Taorluath,{dGe}e,"d,G,e",e,"30,30,30","1,1,1",1,
,,,,,,,,,
Piobaireachd,,Half Grip Enbain,{AGdG}G,"A,G,d,G",G,"30,30,30,30","1,1,1,1",1,
Piobaireachd,,Half Grip  Otro,{BGdG}G,"B,G,d,G",G,"30,30,30,30","1,1,1,1",1,
Piobaireachd,,Half Grip Odro,{cGdG}G,"c,G,d,G",G,"30,30,30,30","1,1,1,1",1,
Piobaireachd,,Half Grip Adeda,{dGeG}G,"d,G,e,G",G,"30,30,30,30","1,1,1,1",1,
,,,,,,,,,
Piobaireachd,,Gracenote Grip Enbain,{gAGdG}G,"g,A,G,d,G",G,"30,30,30,30,30","1,1,1,1,1",1,
Piobaireachd,,Gracenote Grip Otro,{gBGdG}G,"g,B,G,d,G",G,"30,30,30,30,30","1,1,1,1,1",1,
Piobaireachd,,Gracenote Grip Odro,{gcGdG}G,"g,c,G,d,G",G,"30,30,30,30,30","1,1,1,1,1",1,
Piobaireachd,,Gracenote Grip Adeda,{gdGeG}G,"g,d,G,e,G",G,"30,30,30,30,30","1,1,1,1,1",1,
,,,,,,,,,
